Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori Tourism,Percent,31,Level 2,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori authorities,Percent,8,Level 2,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,All New Zealand Businesses,Percent,2,Level 2,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori Small to Medium Enterprises,Percent,3,Level 2,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori Tourism,Percent,13,Level 2,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori authorities,Percent,31,Level 2,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,All New Zealand Businesses,Percent,26,Level 2,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori Small to Medium Enterprises,Percent,26,Level 2,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori Tourism,Percent,63,Level 2,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori authorities,Percent,46,Level 3,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,All New Zealand Businesses,Percent,34,Level 3,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori Small to Medium Enterprises,Percent,35,Level 3,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori Tourism,Percent,0,Level 3,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori authorities,Percent,15,Level 3,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,All New Zealand Businesses,Percent,14,Level 3,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori Small to Medium Enterprises,Percent,17,Level 3,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori Tourism,Percent,56,Level 3,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori authorities,Percent,54,Level 3,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,All New Zealand Businesses,Percent,52,Level 3,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori Small to Medium Enterprises,Percent,50,Level 3,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori Tourism,Percent,44,Level 3,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori authorities,Percent,38,Level 4,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,All New Zealand Businesses,Percent,20,Level 4,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori Small to Medium Enterprises,Percent,19,Level 4,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Fully operational,Maori Tourism,Percent,0,Level 4,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori authorities,Percent,23,Level 4,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,All New Zealand Businesses,Percent,46,Level 4,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori Small to Medium Enterprises,Percent,45,Level 4,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Not operational,Maori Tourism,Percent,81,Level 4,1 and 2 and 5
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori authorities,Percent,38,Level 4,1 and 2 and 3
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,All New Zealand Businesses,Percent,34,Level 4,1 and 2
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori Small to Medium Enterprises,Percent,37,Level 4,1 and 2 and 4
Table 18,Businesses fully operational at different COVID-19 alert levels 2020,By business type,Partly operational,Maori Tourism,Percent,19,Level 4,1 and 2 and 5
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed additional debt or equity finance,All NZ businesses,Percent of total businesses in each business type,16,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed government financial support,All NZ businesses,Percent of total businesses in each business type,77,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Arranged rent reductions or deferment with landlord,All NZ businesses,Percent of total businesses in each business type,40,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Closed part of the business,All NZ businesses,Percent of total businesses in each business type,8,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Increased lines of credit with suppliers,All NZ businesses,Percent of total businesses in each business type,15,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Postponed or cancelled any planned new capital investment,All NZ businesses,Percent of total businesses in each business type,32,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Reduced stock inventory,All NZ businesses,Percent of total businesses in each business type,24,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Adapted the business for new markets,All NZ businesses,Percent of total businesses in each business type,17,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Diversified the range of goods and services offered,All NZ businesses,Percent of total businesses in each business type,14,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Reduced the range of goods and services offered,All NZ businesses,Percent of total businesses in each business type,18,2020,1
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed additional debt or equity finance,Maori SMEs,Percent of total businesses in each business type,19,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed government financial support,Maori SMEs,Percent of total businesses in each business type,77,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Arranged rent reductions or deferment with landlord,Maori SMEs,Percent of total businesses in each business type,38,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Closed part of the business,Maori SMEs,Percent of total businesses in each business type,10,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Increased lines of credit with suppliers,Maori SMEs,Percent of total businesses in each business type,14,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Postponed or cancelled any planned new capital investment,Maori SMEs,Percent of total businesses in each business type,37,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Reduced stock inventory,Maori SMEs,Percent of total businesses in each business type,19,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Adapted the business for new markets,Maori SMEs,Percent of total businesses in each business type,22,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Diversified the range of goods and services offered,Maori SMEs,Percent of total businesses in each business type,15,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Reduced the range of goods and services offered,Maori SMEs,Percent of total businesses in each business type,19,2020,1 and 3
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed additional debt or equity finance,Maori authorities,Percent of total businesses in each business type,8,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed government financial support,Maori authorities,Percent of total businesses in each business type,46,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Arranged rent reductions or deferment with landlord,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Closed part of the business,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Increased lines of credit with suppliers,Maori authorities,Percent of total businesses in each business type,8,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Postponed or cancelled any planned new capital investment,Maori authorities,Percent of total businesses in each business type,38,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Reduced stock inventory,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Adapted the business for new markets,Maori authorities,Percent of total businesses in each business type,23,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Diversified the range of goods and services offered,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Reduced the range of goods and services offered,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed additional debt or equity finance,Maori tourism,Percent of total businesses in each business type,25,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Accessed government financial support,Maori tourism,Percent of total businesses in each business type,94,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Arranged rent reductions or deferment with landlord,Maori tourism,Percent of total businesses in each business type,56,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Closed part of the business,Maori tourism,Percent of total businesses in each business type,31,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Increased lines of credit with suppliers,Maori tourism,Percent of total businesses in each business type,25,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Postponed or cancelled any planned new capital investment,Maori tourism,Percent of total businesses in each business type,56,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Finances: Reduced stock inventory,Maori tourism,Percent of total businesses in each business type,50,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Adapted the business for new markets,Maori tourism,Percent of total businesses in each business type,50,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Diversified the range of goods and services offered,Maori tourism,Percent of total businesses in each business type,25,2020,1 and 4
Table 19,"Businesses response to COVID-19 restrictions – goods and services, and finance",By business type,Goods and services: Reduced the range of goods and services offered,Maori tourism,Percent of total businesses in each business type,44,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Hired more staff,All NZ businesses,Percent of total businesses in each business type,14,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased salaries or wages,All NZ businesses,Percent of total businesses in each business type,11,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased work hours for existing staff,All NZ businesses,Percent of total businesses in each business type,10,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Laid off staff,All NZ businesses,Percent of total businesses in each business type,17,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Re-deployed staff to different roles,All NZ businesses,Percent of total businesses in each business type,19,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced salaries or wages,All NZ businesses,Percent of total businesses in each business type,24,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced work hours for existing staff,All NZ businesses,Percent of total businesses in each business type,53,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Required or encouraged staff to take paid or unpaid leave,All NZ businesses,Percent of total businesses in each business type,30,2020,1
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Hired more staff,Maori SMEs,Percent of total businesses in each business type,18,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased salaries or wages,Maori SMEs,Percent of total businesses in each business type,13,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased work hours for existing staff,Maori SMEs,Percent of total businesses in each business type,10,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Laid off staff,Maori SMEs,Percent of total businesses in each business type,21,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Re-deployed staff to different roles,Maori SMEs,Percent of total businesses in each business type,26,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced salaries or wages,Maori SMEs,Percent of total businesses in each business type,27,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced work hours for existing staff,Maori SMEs,Percent of total businesses in each business type,53,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Required or encouraged staff to take paid or unpaid leave,Maori SMEs,Percent of total businesses in each business type,29,2020,1 and 3
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Hired more staff,Maori authorities,Percent of total businesses in each business type,C,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased salaries or wages,Maori authorities,Percent of total businesses in each business type,C,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased work hours for existing staff,Maori authorities,Percent of total businesses in each business type,0,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Laid off staff,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Re-deployed staff to different roles,Maori authorities,Percent of total businesses in each business type,38,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced salaries or wages,Maori authorities,Percent of total businesses in each business type,15,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced work hours for existing staff,Maori authorities,Percent of total businesses in each business type,31,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Required or encouraged staff to take paid or unpaid leave,Maori authorities,Percent of total businesses in each business type,31,2020,1 and 2
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Hired more staff,Maori tourism,Percent of total businesses in each business type,31,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased salaries or wages,Maori tourism,Percent of total businesses in each business type,19,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Increased work hours for existing staff,Maori tourism,Percent of total businesses in each business type,19,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Laid off staff,Maori tourism,Percent of total businesses in each business type,44,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Re-deployed staff to different roles,Maori tourism,Percent of total businesses in each business type,56,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced salaries or wages,Maori tourism,Percent of total businesses in each business type,50,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Reduced work hours for existing staff,Maori tourism,Percent of total businesses in each business type,88,2020,1 and 4
Table 20,Businesses response to COVID-19 restrictions – staff employment,By business type,Required or encouraged staff to take paid or unpaid leave,Maori tourism,Percent of total businesses in each business type,50,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed distribution methods,All NZ businesses,Percent of businesses,15,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed suppliers,All NZ businesses,Percent of businesses,6,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - external communication,All NZ businesses,Percent of businesses,44,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - internal communication,All NZ businesses,Percent of businesses,48,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - selling or providing goods and services,All NZ businesses,Percent of businesses,24,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of staff working remotely,All NZ businesses,Percent of businesses,51,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Introduced technology at workplace to meet social distancing requirements,All NZ businesses,Percent of businesses,32,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Made changes to the physical environment at workplace to meet social distancing requirements,All NZ businesses,Percent of businesses,79,2020,1
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed distribution methods,Maori SMEs,Percent of businesses,15,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed suppliers,Maori SMEs,Percent of businesses,6,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - external communication,Maori SMEs,Percent of businesses,53,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - internal communication,Maori SMEs,Percent of businesses,58,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - selling or providing goods and services,Maori SMEs,Percent of businesses,26,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of staff working remotely,Maori SMEs,Percent of businesses,64,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Introduced technology at workplace to meet social distancing requirements,Maori SMEs,Percent of businesses,35,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Made changes to the physical environment at workplace to meet social distancing requirements,Maori SMEs,Percent of businesses,79,2020,1 and 3
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed distribution methods,Maori authorities,Percent of businesses,8,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed suppliers,Maori authorities,Percent of businesses,8,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - external communication,Maori authorities,Percent of businesses,38,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - internal communication,Maori authorities,Percent of businesses,69,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - selling or providing goods and services,Maori authorities,Percent of businesses,15,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of staff working remotely,Maori authorities,Percent of businesses,85,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Introduced technology at workplace to meet social distancing requirements,Maori authorities,Percent of businesses,62,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Made changes to the physical environment at workplace to meet social distancing requirements,Maori authorities,Percent of businesses,77,2020,1 and 2
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed distribution methods,Maori tourism,Percent of businesses,13,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Changed suppliers,Maori tourism,Percent of businesses,13,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - external communication,Maori tourism,Percent of businesses,63,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - internal communication,Maori tourism,Percent of businesses,63,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of online services - selling or providing goods and services,Maori tourism,Percent of businesses,44,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Increased or new use of staff working remotely,Maori tourism,Percent of businesses,69,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Introduced technology at workplace to meet social distancing requirements,Maori tourism,Percent of businesses,56,2020,1 and 4
Table 21,Businesses response to COVID-19 restrictions – processes,By business type,Made changes to the physical environment at workplace to meet social distancing requirements,Maori tourism,Percent of businesses,81,2020,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,512,2019_03,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,431,2019_03,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,179,2019_03,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,792,2019_03,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,694,2019_03,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,366,2019_03,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,565,2019_06,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,453,2019_06,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,202,2019_06,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,837,2019_06,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,686,2019_06,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,340,2019_06,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,563,2019_09,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,469,2019_09,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,189,2019_09,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,857,2019_09,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,667,2019_09,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,326,2019_09,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,684,2019_12,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,467,2019_12,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,213,2019_12,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,950,2019_12,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,708,2019_12,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,379,2019_12,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,567,2020_03,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,399,2020_03,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,188,2020_03,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,835,2020_03,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,660,2020_03,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,347,2020_03,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,526,2020_06,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,342,2020_06,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,128,2020_06,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,834,2020_06,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,514,2020_06,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,221,2020_06,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,547,2020_09,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,450,2020_09,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,139,2020_09,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,852,2020_09,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,678,2020_09,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,296,2020_09,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,722,2020_12,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,498,2020_12,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,139,2020_12,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,1068,2020_12,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,757,2020_12,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,272,2020_12,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori authorities,Million Dollars,564,2021_03,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Small to Medium Enterprises,Million Dollars,436,2021_03,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Purchases,Maori Tourism,Million Dollars,135,2021_03,1 and 4
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori authorities,Million Dollars,893,2021_03,1 and 2
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Small to Medium Enterprises,Million Dollars,669,2021_03,1 and 3
Table 22,Business financial data – actual sales and purchases values,By business type,Sales,Maori Tourism,Million Dollars,256,2021_03,1 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2075120,2019_03,1 and 2 and 3 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2094110,2019_06,1 and 2 and 3 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2076310,2019_09,1 and 2 and 3 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2134720,2019_12,1 and 2 and 3 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2124850,2020_03,1 and 2 and 3 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2110550,2020_06,1 and 2 and 3 and 4
Table 23,Business employment data – filled jobs and total earnings,By business type,Filled jobs,All New Zealand Businesses,Counts,2081090,2020_09,1 and 2 and 3 and 4
